id;is_available;price;special_price;wine_stock_id;wine_store_id
1;true;45;35;1;1
2;true;70;40;2;2
3;true;90;65;3;3
4;false;35;20;4;4
5;true;75;55;5;5
6;false;95;70;6;6
7;true;120;90;7;7
8;true;74;60;8;8
9;false;80;75;9;9
10;true;95;80;10;10
11;true;45;35;11;1
12;true;70;40;12;2
13;true;90;65;13;3
14;false;35;20;14;4
15;true;75;55;15;5
16;false;95;70;16;6
17;true;120;90;17;7
18;true;74;60;18;8
19;false;80;75;19;9
20;true;95;80;20;10
21;true;45;35;21;1
22;true;70;40;22;2
23;true;90;65;23;3
24;false;35;20;24;4
25;true;75;55;25;5
26;false;95;70;26;6
27;true;120;90;27;7
28;true;74;60;28;8
29;false;80;75;29;9
30;true;95;80;30;10
31;true;45;35;31;1
32;true;70;40;32;2
33;true;90;65;33;3
34;false;35;20;34;4
35;true;75;55;35;5
36;false;95;70;36;6
37;true;120;90;37;7
38;true;74;60;38;8
39;false;80;75;39;9
40;true;95;80;40;10
41;true;45;35;41;1
42;true;70;40;42;2
43;true;90;65;43;3
44;false;35;20;44;4
45;true;75;55;45;5
46;false;95;70;46;6
47;true;120;90;47;7
48;true;74;60;48;8
49;false;80;75;49;9
50;true;95;80;50;10
51;true;45;35;51;1
52;true;70;40;52;2
53;true;90;65;53;3
54;false;35;20;54;4
55;true;75;55;55;5
56;false;95;70;56;6
57;true;120;90;57;7
58;true;74;60;58;8
59;false;80;75;59;9
60;true;95;80;60;10
61;true;45;35;61;1
62;true;70;40;62;2
63;true;90;65;63;3
64;false;35;20;64;4
65;true;75;55;5;65
66;false;95;70;66;6
67;true;120;90;67;7
68;true;74;60;68;8
69;false;80;75;69;9
70;true;95;80;70;10
71;true;45;35;71;1
72;true;70;40;72;2
73;true;90;65;73;3
74;false;35;20;74;4
75;true;75;55;75;5
76;false;95;70;76;6
77;true;120;90;77;7
78;true;74;60;78;8
79;false;80;75;79;9
80;true;95;80;80;10
